index,path,title,size_bytes,size_human,git_blob_sha1,object_format,license_status,redistribution_approved,import_recommendation,import_reason,exact_duplicate_of,probable_duplicate_of,ocr_need_estimate,ocr_estimate_confidence,language_estimate,blob_api_url,raw_url
57,MEMS and Microstructures in Aerospace Applications - Robert Osiander et al (Eds).pdf,MEMS and Microstructures in Aerospace Applications - Robert Osiander et al (Eds),12856754,12.3 MiB,54f4d059d30680737165e18bc2f715d4e8df74a2,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/54f4d059d30680737165e18bc2f715d4e8df74a2,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/MEMS%20and%20Microstructures%20in%20Aerospace%20Applications%20-%20Robert%20Osiander%20et%20al%20%28Eds%29.pdf
58,Machine Learning and Robot Perception - Bruno Apolloni et al (Eds).pdf,Machine Learning and Robot Perception - Bruno Apolloni et al (Eds),27148229,25.9 MiB,b448a8f1351d238980261ccd4e0980b9673c2896,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/b448a8f1351d238980261ccd4e0980b9673c2896,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Machine%20Learning%20and%20Robot%20Perception%20-%20Bruno%20Apolloni%20et%20al%20%28Eds%29.pdf
59,Machine Vision - David Vernon.pdf,Machine Vision - David Vernon,38449965,36.7 MiB,df585c175efefdec7c237cd17b1eec329e4793a8,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/df585c175efefdec7c237cd17b1eec329e4793a8,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Machine%20Vision%20-%20David%20Vernon.pdf
60,Mechanics of Microelectromechanical Systems - N.Lobontiu and E.Garcia.pdf,Mechanics of Microelectromechanical Systems - N.Lobontiu and E.Garcia,12508119,11.9 MiB,5852a6c3bcffe1c26f7e4f1fb38e283a146fcaae,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/5852a6c3bcffe1c26f7e4f1fb38e283a146fcaae,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechanics%20of%20Microelectromechanical%20Systems%20-%20N.Lobontiu%20and%20E.Garcia.pdf
61,Mechantronics An Introduction - Robert H Bishop.pdf,Mechantronics An Introduction - Robert H Bishop,15556197,14.8 MiB,442016eb434a32faae9bc5ef66eabbadcce9580c,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/442016eb434a32faae9bc5ef66eabbadcce9580c,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechantronics%20An%20Introduction%20-%20Robert%20H%20Bishop.pdf
62,Mechatronic Servo System Control - M. Nakamura S. Goto and  N. Kyura.pdf,Mechatronic Servo System Control - M. Nakamura S. Goto and  N. Kyura,6686864,6.4 MiB,9f8ddffb18d6e4bc47057d427c0f80289fc56240,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/9f8ddffb18d6e4bc47057d427c0f80289fc56240,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechatronic%20Servo%20System%20Control%20-%20M.%20Nakamura%20S.%20Goto%20and%20%20N.%20Kyura.pdf
63,Mechatronic Systems - Georg Pelz.pdf,Mechatronic Systems - Georg Pelz,3118901,3.0 MiB,fb789e6af0a62648229c882e5014852eef4f2e55,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/fb789e6af0a62648229c882e5014852eef4f2e55,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechatronic%20Systems%20-%20Georg%20Pelz.pdf
64,Mechatronics - A Preumont.pdf,Mechatronics - A Preumont,2217641,2.1 MiB,3005c86a1e56eac7dfdabf4908ba4e4917ff0a41,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/3005c86a1e56eac7dfdabf4908ba4e4917ff0a41,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechatronics%20-%20A%20Preumont.pdf
65,"Mechatronics for Safety, Security and Dependability in a New Era - Arai and Arai.pdf","Mechatronics for Safety, Security and Dependability in a New Era - Arai and Arai",53266195,50.8 MiB,cc99d83a276d561706961f69b864d34189e87e72,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/cc99d83a276d561706961f69b864d34189e87e72,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mechatronics%20for%20Safety%2C%20Security%20and%20Dependability%20in%20a%20New%20Era%20-%20Arai%20and%20Arai.pdf
66,Micro Electro Mechanical System Design - James J. Allen.pdf,Micro Electro Mechanical System Design - James J. Allen,18854085,18.0 MiB,e1af5e79e62f6db492cc403bbe20ab0e38693daa,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e1af5e79e62f6db492cc403bbe20ab0e38693daa,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Micro%20Electro%20Mechanical%20System%20Design%20-%20James%20J.%20Allen.pdf
67,Microengineering MEMs and Interfacing - Danny Banks.pdf,Microengineering MEMs and Interfacing - Danny Banks,9065410,8.6 MiB,a1c8743d891391339ea8048b90d372e7eb37bcae,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/a1c8743d891391339ea8048b90d372e7eb37bcae,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Microengineering%20MEMs%20and%20Interfacing%20-%20Danny%20Banks.pdf
68,Micromechanical Photonics - H. Ukita.pdf,Micromechanical Photonics - H. Ukita,15494084,14.8 MiB,e78d17c38789ff703b350d365c8a885cb8d39d76,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e78d17c38789ff703b350d365c8a885cb8d39d76,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Micromechanical%20Photonics%20-%20H.%20Ukita.pdf
69,"Microsensors, MEMS and Smart Devices  - Gardner Varadhan and Awadelkarim.pdf","Microsensors, MEMS and Smart Devices  - Gardner Varadhan and Awadelkarim",41678305,39.7 MiB,919c493f30141492993f420d2f56a6c0cce20393,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/919c493f30141492993f420d2f56a6c0cce20393,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Microsensors%2C%20MEMS%20and%20Smart%20Devices%20%20-%20Gardner%20Varadhan%20and%20Awadelkarim.pdf
70,Mobile Robots Inspiration to Implementation - Flynn and Jones.pdf,Mobile Robots Inspiration to Implementation - Flynn and Jones,34366706,32.8 MiB,62db89b7a145ade26dee1722dbdbc9fdcec7b914,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/62db89b7a145ade26dee1722dbdbc9fdcec7b914,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Mobile%20Robots%20Inspiration%20to%20Implementation%20-%20Flynn%20and%20Jones.pdf
71,Modern Robotics Building Versatile Macines - Harry Henderson.pdf,Modern Robotics Building Versatile Macines - Harry Henderson,5539146,5.3 MiB,227f6115fef7260f3eef42181f4b2b13db00546c,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/227f6115fef7260f3eef42181f4b2b13db00546c,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Modern%20Robotics%20Building%20Versatile%20Macines%20-%20Harry%20Henderson.pdf
72,Multi-Arm Cooperating Robots- Dynamics and Control - Zivanovic and Vukobratovic.pdf,Multi-Arm Cooperating Robots- Dynamics and Control - Zivanovic and Vukobratovic,4166540,4.0 MiB,2d6a124ee1816b52f2b03e82cf1f0c02739a432e,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/2d6a124ee1816b52f2b03e82cf1f0c02739a432e,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Multi-Arm%20Cooperating%20Robots-%20Dynamics%20and%20Control%20-%20Zivanovic%20and%20Vukobratovic.pdf
73,Multi-Robot Systems From Swarms to Intelligent Automata - Parker et al (Eds).pdf,Multi-Robot Systems From Swarms to Intelligent Automata - Parker et al (Eds),7380214,7.0 MiB,081cd2c30514c77e09e9c4a29455dbf32935d7aa,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/081cd2c30514c77e09e9c4a29455dbf32935d7aa,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Multi-Robot%20Systems%20From%20Swarms%20to%20Intelligent%20Automata%20-%20Parker%20et%20al%20%28Eds%29.pdf
74,Nano- and Micro Eelectromechanical Systems - S.E. Lyshevski.pdf,Nano- and Micro Eelectromechanical Systems - S.E. Lyshevski,6642272,6.3 MiB,a8fae8504013825a320c1801d450c7d22a550c1f,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/a8fae8504013825a320c1801d450c7d22a550c1f,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Nano-%20and%20Micro%20Eelectromechanical%20Systems%20-%20S.E.%20Lyshevski.pdf
75,Neural Preprocessing and Control of Reactive Walking Machines - Manoonpong.pdf,Neural Preprocessing and Control of Reactive Walking Machines - Manoonpong,7014357,6.7 MiB,14df6c64945dadeba2e422cb241ecf7256658e4c,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/14df6c64945dadeba2e422cb241ecf7256658e4c,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Neural%20Preprocessing%20and%20Control%20of%20Reactive%20Walking%20Machines%20-%20Manoonpong.pdf
76,Neurotechnology for Biomimetic Robots - Joseph Ayers.pdf,Neurotechnology for Biomimetic Robots - Joseph Ayers,68163261,65.0 MiB,32d5b19c62c7f34212b69c715c5db555282447f3,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/32d5b19c62c7f34212b69c715c5db555282447f3,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Neurotechnology%20for%20Biomimetic%20Robots%20-%20Joseph%20Ayers.pdf
77,PDA Robotics  - Douglas H Williams.pdf,PDA Robotics  - Douglas H Williams,2979596,2.8 MiB,21bb72819ca3ccd5c2949950c77e82a90b69abd3,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/21bb72819ca3ccd5c2949950c77e82a90b69abd3,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/PDA%20Robotics%20%20-%20Douglas%20H%20Williams.pdf
78,PIC Robotics - John Iovine.pdf,PIC Robotics - John Iovine,32252832,30.8 MiB,7a6c32c478b3f2e7eb8f7f389718e2115cdddf05,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/7a6c32c478b3f2e7eb8f7f389718e2115cdddf05,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/PIC%20Robotics%20-%20John%20Iovine.pdf
79,Principles and Applications of NanoMEMS Physics - Hector J. De Los Santos.pdf,Principles and Applications of NanoMEMS Physics - Hector J. De Los Santos,4976298,4.7 MiB,3cf427dcd505fae14060e86bc59c8811cf50aa49,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/3cf427dcd505fae14060e86bc59c8811cf50aa49,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Principles%20and%20Applications%20of%20NanoMEMS%20Physics%20-%20Hector%20J.%20De%20Los%20Santos.pdf
80,Rapid Learning in Robotics - Jorg Walter.pdf,Rapid Learning in Robotics - Jorg Walter,1792568,1.7 MiB,e4c4c57ec4c661c94ef09a3fc04857dd42a46840,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_text_native,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e4c4c57ec4c661c94ef09a3fc04857dd42a46840,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Rapid%20Learning%20in%20Robotics%20-%20Jorg%20Walter.pdf
81,Recent Advances in Mechatronics - Ryszard Jabonski et al (Eds).pdf,Recent Advances in Mechatronics - Ryszard Jabonski et al (Eds),44633560,42.6 MiB,7ab8eea7f47d2a4453a7e000c7783118ca2d3135,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/7ab8eea7f47d2a4453a7e000c7783118ca2d3135,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Recent%20Advances%20in%20Mechatronics%20-%20Ryszard%20Jabonski%20et%20al%20%28Eds%29.pdf
82,Robot Builders Bonanza - Gordon Mccomb.pdf,Robot Builders Bonanza - Gordon Mccomb,11499562,11.0 MiB,6174c7becca42db442d22bae2fb6dd0debfcfd9b,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/6174c7becca42db442d22bae2fb6dd0debfcfd9b,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Builders%20Bonanza%20-%20Gordon%20Mccomb.pdf
83,Robot Builders Source Book - Gordon McComb.pdf,Robot Builders Source Book - Gordon McComb,56776486,54.1 MiB,542340fd47a8a1cc545c498eaf76f78857106a1a,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/542340fd47a8a1cc545c498eaf76f78857106a1a,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Builders%20Source%20Book%20-%20Gordon%20McComb.pdf
84,Robot Manipulator Control Theory and Practice - Frank L.Lewis.pdf,Robot Manipulator Control Theory and Practice - Frank L.Lewis,11505077,11.0 MiB,e0924e3f3b191b8240695e2a821f2800ee75e0b2,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e0924e3f3b191b8240695e2a821f2800ee75e0b2,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Manipulator%20Control%20Theory%20and%20Practice%20-%20Frank%20L.Lewis.pdf
85,Robot Mechanisms and Mechanical Devices Illustrated - Paul E Sandin.pdf,Robot Mechanisms and Mechanical Devices Illustrated - Paul E Sandin,6791134,6.5 MiB,13a1090f6c5c36a8c2d0b0bd5bb4a4bdd0921741,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/13a1090f6c5c36a8c2d0b0bd5bb4a4bdd0921741,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Mechanisms%20and%20Mechanical%20Devices%20Illustrated%20-%20Paul%20E%20Sandin.pdf
86,Robot Motion Planning and Control - J.P. Laumond.pdf,Robot Motion Planning and Control - J.P. Laumond,22385582,21.3 MiB,e6159145e934bc4326eb89bbacebf1db1c1af444,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e6159145e934bc4326eb89bbacebf1db1c1af444,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Motion%20Planning%20and%20Control%20-%20J.P.%20Laumond.pdf
87,Robot Motion and Control - M Thoma & M Morari.pdf,Robot Motion and Control - M Thoma & M Morari,23770113,22.7 MiB,9c15e6505660e1cadcb23936a14671ce89205bed,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/9c15e6505660e1cadcb23936a14671ce89205bed,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Motion%20and%20Control%20-%20M%20Thoma%20%26%20M%20Morari.pdf
88,Robot Vision - Stefan Florczyk.pdf,Robot Vision - Stefan Florczyk,2399881,2.3 MiB,9e4d9eda08cc2be4001117a8152a9fd700d3f72e,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/9e4d9eda08cc2be4001117a8152a9fd700d3f72e,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robot%20Vision%20-%20Stefan%20Florczyk.pdf
89,Robotics Demystified - Edwin Wise.pdf,Robotics Demystified - Edwin Wise,6843539,6.5 MiB,6d2f28fd33c2c7d03a6578707dbd441b21de2dca,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/6d2f28fd33c2c7d03a6578707dbd441b21de2dca,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robotics%20Demystified%20-%20Edwin%20Wise.pdf
90,Robotics Designing the Mechanisms for Automated Machinery - Sandier.pdf,Robotics Designing the Mechanisms for Automated Machinery - Sandier,10475224,10.0 MiB,b778a79ce8a22c995dca4db569d2eaa8e5913a74,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/b778a79ce8a22c995dca4db569d2eaa8e5913a74,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robotics%20Designing%20the%20Mechanisms%20for%20Automated%20Machinery%20-%20Sandier.pdf
91,Robots Androids and Animatrons - John Lovine.pdf,Robots Androids and Animatrons - John Lovine,6085695,5.8 MiB,e916f31179ce448901174a7863121f42aeb6a192,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e916f31179ce448901174a7863121f42aeb6a192,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Robots%20Androids%20and%20Animatrons%20-%20John%20Lovine.pdf
92,Scientific Methods in Mobile Robotics - Ulrich Nehmzow.pdf,Scientific Methods in Mobile Robotics - Ulrich Nehmzow,5823430,5.6 MiB,0ef2274d0e076e106772a2fe2b373fc15cb3e108,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/0ef2274d0e076e106772a2fe2b373fc15cb3e108,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Scientific%20Methods%20in%20Mobile%20Robotics%20-%20Ulrich%20Nehmzow.pdf
93,Sensing Intelligence Motion - How Robots & Humans Move - Vladimir J. Lumelsky.pdf,Sensing Intelligence Motion - How Robots & Humans Move - Vladimir J. Lumelsky,7433988,7.1 MiB,b04f269582b0bf23b7db691aa7daa3e7533c12e1,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/b04f269582b0bf23b7db691aa7daa3e7533c12e1,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Sensing%20Intelligence%20Motion%20-%20How%20Robots%20%26%20Humans%20Move%20-%20Vladimir%20J.%20Lumelsky.pdf
94,Smart Material Systems and MEMS - Vijay K. Varadan.pdf,Smart Material Systems and MEMS - Vijay K. Varadan,19031081,18.1 MiB,5ea4dcdc8935465f20b8053d5244c26523f04726,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/5ea4dcdc8935465f20b8053d5244c26523f04726,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Smart%20Material%20Systems%20and%20MEMS%20-%20Vijay%20K.%20Varadan.pdf
95,Socially Intel. Agents Creating Rels. with Comp. & Robots - Dautenhahn et al (Eds).pdf,Socially Intel. Agents Creating Rels. with Comp. & Robots - Dautenhahn et al (Eds),2110369,2.0 MiB,01d979bf57262ef3a42378c3cdec9f87fc76c8ed,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/01d979bf57262ef3a42378c3cdec9f87fc76c8ed,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Socially%20Intel.%20Agents%20Creating%20Rels.%20with%20Comp.%20%26%20Robots%20-%20Dautenhahn%20et%20al%20%28Eds%29.pdf
96,Software Engineering for Experimental Robotics - Davide Brugali et al.pdf,Software Engineering for Experimental Robotics - Davide Brugali et al,10596858,10.1 MiB,5ecfd4b42745912b18fa5e403ffe85a384c2ab85,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/5ecfd4b42745912b18fa5e403ffe85a384c2ab85,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Software%20Engineering%20for%20Experimental%20Robotics%20-%20Davide%20Brugali%20et%20al.pdf
97,Squeak Learn Programming with Robots - Stephane Ducasse.pdf,Squeak Learn Programming with Robots - Stephane Ducasse,2917986,2.8 MiB,911cfaf81f5e81d46e339c166170a6fefc535f6b,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/911cfaf81f5e81d46e339c166170a6fefc535f6b,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Squeak%20Learn%20Programming%20with%20Robots%20-%20Stephane%20Ducasse.pdf
98,The Definitive Guide to Building Java Robots - Scott Preston.pdf,The Definitive Guide to Building Java Robots - Scott Preston,18488933,17.6 MiB,510ea7f4bfd389d211400c31918eb33a5e275e60,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/510ea7f4bfd389d211400c31918eb33a5e275e60,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/The%20Definitive%20Guide%20to%20Building%20Java%20Robots%20-%20Scott%20Preston.pdf
99,The MEMS Handbook (1st Ed) - M. Gad el Hak.pdf,The MEMS Handbook (1st Ed) - M. Gad el Hak,70181180,66.9 MiB,dfea1ca68836d5d9f7ca5bd1f8f709fc60de544f,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/dfea1ca68836d5d9f7ca5bd1f8f709fc60de544f,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/The%20MEMS%20Handbook%20%281st%20Ed%29%20-%20M.%20Gad%20el%20Hak.pdf
100,The MEMS Handbook Introduction & Fundamentals (2nd Ed) - M. Gad el Hak.pdf,The MEMS Handbook Introduction & Fundamentals (2nd Ed) - M. Gad el Hak,17539882,16.7 MiB,2d6184b0ae8779b1750adb867a8f7a044c838d17,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/2d6184b0ae8779b1750adb867a8f7a044c838d17,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/The%20MEMS%20Handbook%20Introduction%20%26%20Fundamentals%20%282nd%20Ed%29%20-%20M.%20Gad%20el%20Hak.pdf
101,The MEMS Handbook MEMS Applications (2nd Ed) - M. Gad el Hak.pdf,The MEMS Handbook MEMS Applications (2nd Ed) - M. Gad el Hak,27333938,26.1 MiB,01ff0624287c007490377767f46da9c4695c84e9,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/01ff0624287c007490377767f46da9c4695c84e9,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/The%20MEMS%20Handbook%20MEMS%20Applications%20%282nd%20Ed%29%20-%20M.%20Gad%20el%20Hak.pdf
