index,path,title,size_bytes,size_human,git_blob_sha1,object_format,license_status,redistribution_approved,import_recommendation,import_reason,exact_duplicate_of,probable_duplicate_of,ocr_need_estimate,ocr_estimate_confidence,language_estimate,blob_api_url,raw_url
27,Designing Mobile Autonomous Robots - John Holland.pdf,Designing Mobile Autonomous Robots - John Holland,7336871,7.0 MiB,bf8154f8b5e14883526dd0c956825a750e85b316,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/bf8154f8b5e14883526dd0c956825a750e85b316,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Designing%20Mobile%20Autonomous%20Robots%20-%20John%20Holland.pdf
28,Designing Sociable Robots - Cynthia L Breazeal.pdf,Designing Sociable Robots - Cynthia L Breazeal,3397273,3.2 MiB,f65ef841515deccc6e839fead38dd97285aa8603,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/f65ef841515deccc6e839fead38dd97285aa8603,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Designing%20Sociable%20Robots%20-%20Cynthia%20L%20Breazeal.pdf
29,Dynamic Vision for Perception and Control of Motion - Ernst D. Dickmanns.pdf,Dynamic Vision for Perception and Control of Motion - Ernst D. Dickmanns,8888292,8.5 MiB,126f63ca70ca63d4c086fd52d4a928b13ad1237f,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/126f63ca70ca63d4c086fd52d4a928b13ad1237f,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Dynamic%20Vision%20for%20Perception%20and%20Control%20of%20Motion%20-%20Ernst%20D.%20Dickmanns.pdf
30,Effective Computational Geometry for Curves & Surfaces - Boissonnat & Teillaud.pdf,Effective Computational Geometry for Curves & Surfaces - Boissonnat & Teillaud,5991788,5.7 MiB,bccd2c78f18411c84e7edee83a5f7554d4672727,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/bccd2c78f18411c84e7edee83a5f7554d4672727,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Effective%20Computational%20Geometry%20for%20Curves%20%26%20Surfaces%20-%20Boissonnat%20%26%20Teillaud.pdf
31,Efficient Collision Detection for Animation and Robotics - Ming C Lin.pdf,Efficient Collision Detection for Animation and Robotics - Ming C Lin,837503,817.9 KiB,944d2f0d35b30cde9d07b090bebfbe4606cd2229,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_text_native,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/944d2f0d35b30cde9d07b090bebfbe4606cd2229,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Efficient%20Collision%20Detection%20for%20Animation%20and%20Robotics%20-%20Ming%20C%20Lin.pdf
32,Electroactive Polymers for Robotic Applications - Kim & Tadokoro (Eds.).pdf,Electroactive Polymers for Robotic Applications - Kim & Tadokoro (Eds.),5053088,4.8 MiB,08c8d700ef88b1ca30f73d0212a1d10eb13f5a3d,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/08c8d700ef88b1ca30f73d0212a1d10eb13f5a3d,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Electroactive%20Polymers%20for%20Robotic%20Applications%20-%20Kim%20%26%20Tadokoro%20%28Eds.%29.pdf
33,Embedded Robotics - Thomas Braunl.pdf,Embedded Robotics - Thomas Braunl,5790471,5.5 MiB,e4e366d715ae9de3c7dc7880c8d7199ae874fe99,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/e4e366d715ae9de3c7dc7880c8d7199ae874fe99,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Embedded%20Robotics%20-%20Thomas%20Braunl.pdf
34,Environment Learning for Indoor Mobile Robots - Andrade Cetto & Sanfeliu.pdf,Environment Learning for Indoor Mobile Robots - Andrade Cetto & Sanfeliu,6275726,6.0 MiB,aab00eb7ce4e62781cfceac7385eeca5533fb2d3,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/aab00eb7ce4e62781cfceac7385eeca5533fb2d3,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Environment%20Learning%20for%20Indoor%20Mobile%20Robots%20-%20Andrade%20Cetto%20%26%20Sanfeliu.pdf
35,Field and Service Robotics - Corke P. and Sukkarieh S.(Eds).pdf,Field and Service Robotics - Corke P. and Sukkarieh S.(Eds),86097367,82.1 MiB,9c3286e8bec0a78bd66bb340bfa04b7d2bf6575a,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/9c3286e8bec0a78bd66bb340bfa04b7d2bf6575a,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Field%20and%20Service%20Robotics%20-%20Corke%20P.%20and%20Sukkarieh%20S.%28Eds%29.pdf
36,Field and Service Robotics- Recent Advances - Yuta S. et al (Eds).pdf,Field and Service Robotics- Recent Advances - Yuta S. et al (Eds),68309353,65.1 MiB,f9ade0dbc402ca77597853747652e2123415ba2d,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_scanned_or_image_heavy,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/f9ade0dbc402ca77597853747652e2123415ba2d,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Field%20and%20Service%20Robotics-%20Recent%20Advances%20-%20Yuta%20S.%20et%20al%20%28Eds%29.pdf
